scorer,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,tail,tail,tail,box_ul,box_ul,box_ul,box_ur,box_ur,box_ur,box_lr,box_lr,box_lr,box_ll,box_ll,box_ll
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,346.11688232421875,79.16443634033203,0.00034220563247799873,260.6378479003906,100.41146850585938,0.06191805750131607,252.49887084960938,74.3464584350586,0.07422348856925964,335.61187744140625,126.69812774658203,0.6956061124801636,70.52169799804688,37.21904754638672,1.0,409.3125,15.49990177154541,0.9999995231628418,275.5219421386719,228.35108947753906,1.0,224.3679962158203,230.5990753173828,0.9991216063499451
10,409.0198059082031,8.123960494995117,0.0010829520178958774,260.6378479003906,101.04720306396484,0.0016311171930283308,252.49887084960938,74.3464584350586,0.30382201075553894,335.61187744140625,126.69812774658203,0.3474431037902832,70.5793228149414,37.26005554199219,1.0,408.2517395019531,16.132341384887695,0.9999994039535522,275.531005859375,228.3733367919922,0.9999998807907104,224.36044311523438,230.5990753173828,0.9988239407539368
11,409.0198059082031,8.11442756652832,0.0004894636804237962,263.404052734375,106.68217468261719,0.03417927026748657,252.49887084960938,78.40470886230469,0.8915126323699951,336.8237609863281,128.17567443847656,0.6715553998947144,70.95398712158203,37.48755645751953,1.0,408.2517395019531,16.132341384887695,0.9999994039535522,275.610107421875,228.31747436523438,0.9999998807907104,224.36044311523438,230.45086669921875,0.998426079750061
12,408.97991943359375,8.11442756652832,0.00047936939517967403,267.22796630859375,113.72470092773438,0.0006589491968043149,256.27716064453125,84.346435546875,0.00028818080318160355,336.8237609863281,122.58534240722656,0.7507053017616272,71.01458740234375,37.48755645751953,1.0,408.2517395019531,16.132341384887695,0.9999995231628418,275.6262512207031,228.29046630859375,1.0,224.36044311523438,230.23365783691406,0.9974266886711121
13,408.97991943359375,8.11442756652832,0.0004489314160309732,268.35772705078125,115.05376434326172,0.010217210277915001,256.27716064453125,98.10887908935547,0.01786893606185913,336.8237609863281,128.17567443847656,0.017365986481308937,71.0267105102539,37.48755645751953,1.0,408.2517395019531,16.03838348388672,0.9999996423721313,276.0487365722656,227.70538330078125,1.0,224.5349578857422,229.95713806152344,0.9979401230812073
14,408.97296142578125,8.123960494995117,0.00047457919572480023,272.7817687988281,115.05376434326172,0.008856195025146008,256.27716064453125,99.18382263183594,0.0348367840051651,338.67938232421875,122.58534240722656,0.029031407088041306,71.48320007324219,37.38252639770508,1.0,408.3354187011719,16.013309478759766,0.9999997615814209,276.0487365722656,227.55059814453125,1.0,224.5349578857422,229.9501190185547,0.9992871880531311
15,408.9089660644531,8.042932510375977,0.0011298657627776265,272.7817687988281,117.38025665283203,0.019861480221152306,253.66151428222656,102.13683319091797,0.08393317461013794,336.8237609863281,127.8936996459961,0.02858731336891651,71.69503021240234,37.38252639770508,1.0,408.51519775390625,15.756464004516602,0.9999996423721313,276.1159362792969,227.4281463623047,1.0,224.5349578857422,229.9501190185547,0.9968196153640747
16,408.9089660644531,7.947541236877441,0.0016385300550609827,272.7817687988281,117.38025665283203,0.0002063866559183225,253.66151428222656,102.13683319091797,0.0028973042499274015,275.7227783203125,125.9801025390625,0.03077695704996586,71.8278579711914,37.38252639770508,1.0,408.7017517089844,15.262064933776855,0.9999995231628418,276.1159362792969,227.42660522460938,1.0,224.53155517578125,229.7411346435547,0.9990170001983643
17,350.0923156738281,120.3431396484375,0.00040111877024173737,410.77716064453125,4.350067138671875,0.04625270515680313,253.66151428222656,102.13683319091797,0.8959338665008545,271.4136657714844,127.8936996459961,0.0036752389278262854,71.8278579711914,37.451194763183594,1.0,408.7017517089844,15.262064933776855,0.9999995231628418,276.1159362792969,227.42660522460938,1.0,223.20413208007812,229.7411346435547,0.9999786615371704
18,350.0923156738281,120.3431396484375,0.0004273757222108543,410.77716064453125,4.350067138671875,0.00023416349722538143,281.6941223144531,107.02099609375,0.0004458055773284286,265.01837158203125,127.8936996459961,0.039803024381399155,71.69503021240234,37.77720260620117,1.0,408.7017517089844,15.262064933776855,0.999998927116394,276.4430236816406,227.4281463623047,0.9999970197677612,222.77301025390625,230.53890991210938,0.9984691739082336
