scorer,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,tail,tail,tail,box_ul,box_ul,box_ul,box_ur,box_ur,box_ur,box_lr,box_lr,box_lr,box_ll,box_ll,box_ll
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,364.228271484375,-0.13519668579101562,0.010833384469151497,340.9010925292969,21.689489364624023,1.0,374.8262634277344,23.23638916015625,1.0,322.48468017578125,91.01068115234375,1.0,72.07781982421875,48.95953369140625,1.0,368.927734375,3.704662322998047,0.00025254860520362854,295.8494567871094,221.20155334472656,1.0,240.0775909423828,228.3592529296875,1.0
21,363.1275634765625,-0.13519668579101562,0.00933279562741518,338.1417541503906,18.151588439941406,1.0,375.1843566894531,17.746654510498047,1.0,322.9039611816406,89.5354232788086,1.0,72.09658813476562,48.906898498535156,1.0,368.927734375,3.704662322998047,0.00037239957600831985,295.8494567871094,221.20155334472656,1.0,240.3502960205078,228.3231964111328,1.0
22,350.03851318359375,0.329911470413208,0.0067851548083126545,338.1417541503906,14.332795143127441,1.0,375.1843566894531,13.434444427490234,1.0,326.49566650390625,84.06705474853516,0.6566447019577026,72.09658813476562,48.90546417236328,1.0,368.927734375,3.704662322998047,0.000802212452981621,295.5247497558594,221.31080627441406,1.0,240.3502960205078,228.3592529296875,1.0
23,337.1113586425781,0.4677133560180664,0.010803344659507275,338.1417541503906,11.904812812805176,1.0,380.7018127441406,10.12116813659668,1.0,329.27801513671875,77.52268981933594,0.0021049389615654945,72.09658813476562,48.90546417236328,1.0,380.7779541015625,3.704662322998047,0.0007955331238918006,294.52984619140625,221.31080627441406,1.0,240.0775909423828,228.3592529296875,1.0
24,336.91748046875,1.1239306926727295,0.0063780685886740685,340.8361511230469,6.6327056884765625,0.9999998807907104,380.7018127441406,9.758369445800781,1.0,337.45562744140625,51.11753845214844,0.006889709737151861,72.09658813476562,48.906898498535156,1.0,380.7779541015625,1.5009455680847168,0.002194464672356844,294.52984619140625,221.33151245117188,1.0,240.3502960205078,228.08457946777344,1.0
25,260.50042724609375,215.96978759765625,0.001411696895956993,343.2053527832031,2.02066969871521,0.9862896800041199,380.7018127441406,2.8972206115722656,0.9999043941497803,340.6741943359375,51.11753845214844,0.22210296988487244,72.09658813476562,49.74009704589844,1.0,380.7779541015625,1.5009455680847168,0.0004553254693746567,294.52984619140625,221.33151245117188,1.0,240.3843231201172,228.08457946777344,1.0
26,260.4965515136719,216.36624145507812,0.0009225369431078434,345.3475341796875,2.02066969871521,0.012008238583803177,386.9670715332031,2.8972206115722656,0.30789342522621155,343.73956298828125,51.11753845214844,0.044253211468458176,72.85455322265625,49.74009704589844,1.0,383.30462646484375,1.5009455680847168,0.0003892250533681363,294.3852233886719,221.31080627441406,1.0,239.8708953857422,227.98634338378906,1.0
27,259.8308410644531,216.71261596679688,0.00037429286749102175,349.06927490234375,2.02066969871521,0.08465653657913208,386.56683349609375,1.469322919845581,0.7305442094802856,346.5069885253906,50.74884033203125,0.8495597243309021,72.85455322265625,49.74009704589844,1.0,349.8489990234375,2.339050769805908,0.00039667158853262663,294.4776611328125,221.117431640625,1.0,239.8708953857422,227.98593139648438,1.0
28,260.4965515136719,216.36624145507812,0.0017699996242299676,343.2053527832031,12.527280807495117,0.9999998807907104,379.1598205566406,1.469322919845581,0.9999810457229614,346.84033203125,51.11753845214844,1.0,72.85455322265625,49.23981475830078,1.0,348.6187438964844,3.28775954246521,0.0008434950141236186,294.5194396972656,218.63143920898438,1.0,239.56617736816406,226.027099609375,1.0
29,260.50042724609375,216.36624145507812,0.0016185373533517122,343.2053527832031,19.716257095336914,0.9999579191207886,379.1598205566406,3.0040979385375977,0.42181873321533203,347.6636962890625,51.44835662841797,1.0,72.4785385131836,48.632869720458984,1.0,336.8043212890625,5.844370365142822,0.0005638540023937821,294.4776611328125,218.30506896972656,1.0,239.56617736816406,225.87588500976562,1.0
